Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3]
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,254648,Aetideus pacificus,C5,,,,0.01892,,,,0
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,117849,Aglantha digitale, ,,,,0.00946,,,,0.06
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,196770,Calanus marshallae,AF,,,,0.0473,,,,0.08
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,196770,Calanus marshallae,AM,,,,0.12299,,,,0.17
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,196770,Calanus marshallae,C4,,,,0.30274,,,,0.17
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,196770,Calanus marshallae,C5,,,,3.17881,,,,4.22
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,196774,Centropages abdominalis,AF,,,,0.37843,,,,0.08
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,139178,Clione limacina, ,,,,0.00946,,,,0.01
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,1248,Ctenophora, ,,,,0.00946,,,,0.23
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,135418,Dimophyes arctica, ,,,,0.00946,,,,0.05
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,423345,Eirene indicans, ,,,,0.00946,,,,0.22
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,196775,Eucalanus bungii,C3,,,,0.15137,,,,0.07
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,196775,Eucalanus bungii,C4,,,,0.5298,,,,0.54
TGX201809,Multinet,0.5,Oblique,505,2018-09-12T05:42:08-0800,2018-09-12T06:08:34-0800,-149.0667,59.4201,191,GAK04,2,99.7,59.5,196775,Eucalanus bungii,C5,,,,0.5298,,,,1.08
