Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3]
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104075,Aetideidae,C2,1,0.5,138.3,0.014461316,850,0,55.74,0.0008061
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104112,Aetideus,C5,2,0.5,138.3,0.028922632,1352.4,3.8,241.73,0.006991497
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104275,Aetideus armatus,C6 AF,15,0.5,138.3,0.21691974,1414.2,6.5,281.46,0.061054845
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104115,Bradyidius,C3,2,0.5,138.3,0.028922632,1132.6,1.8,0,0
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104115,Bradyidius,C4,2,0.5,138.3,0.028922632,1356.2,6.4,0,0
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104117,Chiridius,C4,7,0.5,138.3,0.101229212,1247.3,3,0,0
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104117,Chiridius,C5,7,0.5,138.3,0.101229212,1590.9,4.6,0,0
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104117,Chiridius,C6 AM,1,0.5,138.3,0.014461316,1364,0,0,0
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104290,Chiridius gracilis,C6 AF,1,0.5,138.3,0.014461316,2056.1,0,0,0
TGX201909,Multinet,0.5,Oblique,500,2019-09-17T04:37:19-0800,2019-09-17T05:06:49-0800,-149.4689,59.8304,277,GAK01,1,200,100,104290,Chiridius gracilis,C6 AM,2,0.5,138.3,0.028922632,1672.3,3.3,0,0
