Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Latitude_[decimal_degrees_north],Longitude_[decimal_degrees_east],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3],,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,1100,Calanoida,Nauplius,23,0.00390625,11.38417626,517.2091387,306.5,20.6,3.73,1.928166557,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104108,Acartia,C1,7,0.0625,11.38417626,9.838217311,339.2,12.1,3.09,0.030396287,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104108,Acartia,C3,2,0.0625,11.38417626,2.810919232,510.8,12.9,10.02,0.028173094,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104108,Acartia,C4,1,0.0625,11.38417626,1.405459616,613.5,0,16.68,0.023449026,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104108,Acartia,C5,2,0.0625,11.38417626,2.810919232,710,0.9,25.52,0.071733301,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104257,Acartia longiremis,C5,1,0.0625,11.38417626,1.405459616,623.9,0,17.52,0.024627602,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104257,Acartia longiremis,C6 AF,10,0.0625,11.38417626,14.05459616,821.3,9.6,39.83,0.55984568,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104257,Acartia longiremis,C6 AM,5,0.0625,11.38417626,7.02729808,777.4,1.8,33.24,0.233561571,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104075,Aetideidae,C5,1,1,11.38417626,0.087841226,1269.1,0,197.29,0.017330391,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104275,Aetideus armatus,C6 AF,4,1,11.38417626,0.351364904,1477.2,4.5,320.16,0.112493925,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104275,Aetideus armatus,C6 AM,1,1,11.38417626,0.087841226,1255.2,0,190.59,0.016741778,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104152,Calanus,C1,3,0.125,11.38417626,2.108189424,726.9,6.4,23.14,0.048786142,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,104152,Calanus,C2,3,0.125,11.38417626,2.108189424,953.1,1.8,53.99,0.113815524,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,196770,Calanus marshallae,C2,3,0.25,11.38417626,1.054094712,1037.6,3,67.81,0.071478164,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,196770,Calanus marshallae,C3,3,0.25,11.38417626,1.054094712,1427.8,1.8,184.39,0.194363467,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,196770,Calanus marshallae,C4,9,0.25,11.38417626,3.162284136,1889.9,3.5,445.72,1.409500001,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,196770,Calanus marshallae,C5,1,0.25,11.38417626,0.351364904,2582.9,0,1183.51,0.415844353,,,,
TGX201809,QuadNet,0.25,Vertical,150,2018-09-12T10:41:15-0800,2018-09-12T10:47:04-0800,59.8470,-149.4833,268,GAK01,0,100,0,196771,Calanus pacificus,C1,1,0.25,11.38417626,0.351364904,612.1,0,11.84,0.004161694,,,,
