Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3]
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104257,Acartia longiremis,C6 AF,1,0.25,291.4,0.013726836,1035.8,0,76.45,0.001049391
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104075,Aetideidae,C2,1,0.25,291.4,0.013726836,873.5,0,60.75,0.000833967
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104075,Aetideidae,C3,7,0.25,291.4,0.096087852,1194.4,4.6,163.97,0.015755414
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104075,Aetideidae,C4,6,0.25,291.4,0.082361016,1279.2,13,211.75,0.01744017
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104075,Aetideidae,C5,1,0.25,291.4,0.013726836,1199.1,0,165,0.002264936
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104075,Aetideidae,C6 AF,2,0.25,291.4,0.027453672,1513.6,19.7,366.68,0.010066596
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104275,Aetideus armatus,C5,3,0.25,291.4,0.041180508,1194.1,2.7,163.09,0.006715995
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104275,Aetideus armatus,C6 AF,13,0.25,291.4,0.178448868,1415.7,3.8,279.81,0.049931038
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104115,Bradyidius,C4,1,0.25,291.4,0.013726836,1239.1,0,0,0
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104115,Bradyidius,C6 AM,1,0.25,291.4,0.013726836,1428.2,0,0,0
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,346179,Bradyidius saanichi,C5,1,0.25,291.4,0.013726836,1500.4,0,0,0
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104283,Bradyidius similis,C5,1,0.25,291.4,0.013726836,1300.3,0,0,0
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104290,Chiridius gracilis,C4,7,0.25,291.4,0.096087852,1234.4,4.3,0,0
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104290,Chiridius gracilis,C5,9,0.25,291.4,0.123541524,1644.4,3,0,0
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104290,Chiridius gracilis,C6 AF,7,0.25,291.4,0.096087852,2053.3,2.7,0,0
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,104290,Chiridius gracilis,C6 AM,1,0.25,291.4,0.013726836,1693.7,0,0,0
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,346494,Gaetanus simplex,C4,4,0.25,291.4,0.054907344,1718.2,3.5,404.9,0.022232255
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,346494,Gaetanus simplex,C5,3,0.25,291.4,0.041180508,2173.5,8.8,950.6,0.039146161
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,196770,Calanus marshallae,C4,4,0.125,291.4,0.109814688,2031.7,3.8,559.21,0.06140999
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,196770,Calanus marshallae,C5,98,0.125,291.4,2.690459849,2665.9,6.2,1323.23,3.560092551
SKQ201915,Multinet,0.5,Oblique,500,2019-07-13T05:55:23-0800,2019-07-13T06:42:15-0800,-149.4636,59.8490,274,GAK01,1,200,100,196770,Calanus marshallae,C6 AF,7,0.125,291.4,0.192175704,2891.3,4.3,1694.67,0.325674267
