Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Latitude_[decimal_degrees_north],Longitude_[decimal_degrees_east],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[mg],Biomass_[mg_WetWeight_m-3],,,,
TGX201909,QuadNet,0.25,Vertical,150,2019-09-16T10:49:01-0800,2019-09-16T10:55:03-0800,59.8458,-149.4876,268,GAK01,0,100,0,1100,Calanoida,Nauplius,25,0.015625,11.926,134.1606574,316.9,16.9,3.98,0.533888379,,,,
TGX201909,QuadNet,0.25,Vertical,150,2019-09-16T10:49:01-0800,2019-09-16T10:55:03-0800,59.8458,-149.4876,268,GAK01,0,100,0,104108,Acartia,C4,1,0.0625,11.926,1.341606574,615.1,0,16.82,0.022560152,,,,
TGX201909,QuadNet,0.25,Vertical,150,2019-09-16T10:49:01-0800,2019-09-16T10:55:03-0800,59.8458,-149.4876,268,GAK01,0,100,0,104257,Acartia longiremis,C6 AF,4,0.0625,11.926,5.366426295,867.1,7.3,46.11,0.247440756,,,,
TGX201909,QuadNet,0.25,Vertical,150,2019-09-16T10:49:01-0800,2019-09-16T10:55:03-0800,59.8458,-149.4876,268,GAK01,0,100,0,104257,Acartia longiremis,C6 AM,1,0.0625,11.926,1.341606574,801.8,0,36.33,0.048743794,,,,
TGX201909,QuadNet,0.25,Vertical,150,2019-09-16T10:49:01-0800,2019-09-16T10:55:03-0800,59.8458,-149.4876,268,GAK01,0,100,0,104112,Aetideus,C4,1,0.5,11.926,0.167700822,1030.7,0,102.38,0.01716906,,,,
TGX201909,QuadNet,0.25,Vertical,150,2019-09-16T10:49:01-0800,2019-09-16T10:55:03-0800,59.8458,-149.4876,268,GAK01,0,100,0,196770,Calanus marshallae,C1,3,0.25,11.926,1.00620493,768.7,1.5,26.42,0.026585815,,,,
TGX201909,QuadNet,0.25,Vertical,150,2019-09-16T10:49:01-0800,2019-09-16T10:55:03-0800,59.8458,-149.4876,268,GAK01,0,100,0,196770,Calanus marshallae,C2,6,0.25,11.926,2.012409861,1023,9.8,66.46,0.133750956,,,,
TGX201909,QuadNet,0.25,Vertical,150,2019-09-16T10:49:01-0800,2019-09-16T10:55:03-0800,59.8458,-149.4876,268,GAK01,0,100,0,196770,Calanus marshallae,C3,3,0.25,11.926,1.00620493,1472.1,2.8,203.17,0.204426401,,,,
TGX201909,QuadNet,0.25,Vertical,150,2019-09-16T10:49:01-0800,2019-09-16T10:55:03-0800,59.8458,-149.4876,268,GAK01,0,100,0,196770,Calanus marshallae,C4,8,0.25,11.926,2.683213148,1827.1,4.8,402.13,1.078992225,,,,
TGX201909,QuadNet,0.25,Vertical,150,2019-09-16T10:49:01-0800,2019-09-16T10:55:03-0800,59.8458,-149.4876,268,GAK01,0,100,0,196770,Calanus marshallae,C5,8,0.25,11.926,2.683213148,2471,6.1,1041.32,2.794086032,,,,
