BOTTOM_DEPTH,CRUISE,DAY,DIS_PERVOLM2,DIS_PERVOLM3,EST_NUM_PERM2,EST_NUM_PERM3,FOCI_ID,FOCI_SAMPLE_ID,GEAR_NAME,GEOGRAPHIC_AREA,GMT_DATE_TIME_TXT,HAUL_ID,HAUL_NAME,HAUL_PERFORMANCE,LAT,LON,MAX_GEAR_DEPTH,MESH,MIN_GEAR_DEPTH,MONTH,NET,SAMPLE_DEPTH,SEX,SEX_NAME,SIZE_NAME,SPECIMEN_FORM,STAGE,STAGE_NAME,STATION_NAME,TAXON_NAME,TAXON_SIZE,VOLUME_FILTERED,YEAR,ZOOP_COPEPOD_NAUPLII,ZOOP_EUPHAUSIID_EGG
43,OS17-01,8,25.0998,0.7606,53.5425,1.6225,,,20BON,Arctic,2017-08-08 14:50,,1,GOOD,71.2335,-164.2223,33,153,,8,1,,999,NOT DETERMINED,NOT DETERMINED,L,24,C - 5 (COPEPODITE V),4,Acartia longiremis,999,13.14831,2017,,
43,OS17-01,8,25.0998,0.7606,107.085,3.245,,,20BON,Arctic,2017-08-08 14:50,,1,GOOD,71.2335,-164.2223,33,153,,8,1,,999,NOT DETERMINED,NOT DETERMINED,L,19,C-1 TO C-4,4,Acartia spp.,999,13.14831,2017,,
43,OS17-01,8,25.0998,0.7606,53.5425,1.6225,,,20BON,Arctic,2017-08-08 14:50,,1,GOOD,71.2335,-164.2223,33,153,,8,1,,999,NOT DETERMINED,NOT DETERMINED,L,23,C - 4 (COPEPODITE IV),4,Pseudocalanus spp.,999,13.14831,2017,,
43,OS17-01,8,25.0998,0.7606,107.085,3.245,,,20BON,Arctic,2017-08-08 14:50,,1,GOOD,71.2335,-164.2223,33,153,,8,1,,999,NOT DETERMINED,< 5 mm,L,70,ZOEA,4,Oregoniidae (Brachyura),2,13.14831,2017,,
43,OS17-01,8,25.0998,0.7606,107.085,3.245,,,20BON,Arctic,2017-08-08 14:50,,1,GOOD,71.2335,-164.2223,33,153,,8,1,,999,NOT DETERMINED,< 5 mm,L,51,LARVA,4,Echinodermata,2,13.14831,2017,,
43,OS17-01,8,25.0998,0.7606,53.5425,1.6225,,,20BON,Arctic,2017-08-08 14:50,,1,GOOD,71.2335,-164.2223,33,153,,8,1,,999,NOT DETERMINED,NOT DETERMINED,L,19,C-1 TO C-4,4,Microcalanus spp.,999,13.14831,2017,,
43,OS17-01,8,25.0998,0.7606,214.1733,6.4901,,,20BON,Arctic,2017-08-08 14:50,,1,GOOD,71.2335,-164.2223,33,153,,8,1,,1,MALE,NOT DETERMINED,L,0,ADULT,4,Oithona similis,999,13.14831,2017,,
43,OS17-01,8,25.0998,0.7606,214.1733,6.4901,,,20BON,Arctic,2017-08-08 14:50,,1,GOOD,71.2335,-164.2223,33,153,,8,1,,2,FEMALE,NOT DETERMINED,L,0,ADULT,4,Oithona similis,999,13.14831,2017,,
43,OS17-01,8,25.0998,0.7606,321.2583,9.7351,,,20BON,Arctic,2017-08-08 14:50,,1,GOOD,71.2335,-164.2223,33,153,,8,1,,999,NOT DETERMINED,NOT DETERMINED,L,24,C - 5 (COPEPODITE V),4,Oithona similis,999,13.14831,2017,,
43,OS17-01,8,25.0998,0.7606,267.7158,8.1126,,,20BON,Arctic,2017-08-08 14:50,,1,GOOD,71.2335,-164.2223,33,153,,8,1,,999,NOT DETERMINED,NOT DETERMINED,L,19,C-1 TO C-4,4,Oithona spp.,999,13.14831,2017,,
